Lieu	N° région, département	Série	Unité	2004	2008
LIMOUSIN	74	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
LIMOUSIN	74	RA08Amont du cycle du combustible	nombre	8.0	8.0
LIMOUSIN	74	RA08Aval du cycle du combustible	nombre	0.0	0.0
LIMOUSIN	74	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
LIMOUSIN	74	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
LIMOUSIN	74	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
LIMOUSIN	74	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	13.0	15.0
LORRAINE	41	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
LORRAINE	41	RA08Etablissements de recherche (hors CEA)	nombre	7.0	15.0
LORRAINE	41	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	1.0
LORRAINE	41	RA08Centres nucléaires de production d'électricité	nombre	1.0	1.0
LORRAINE	41	RA08Activités médicales	nombre	9.0	9.0
LORRAINE	41	RA08Etablissements de la défense nationale	nombre	4.0	3.0
LORRAINE	41	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
LORRAINE	41	RA08Amont du cycle du combustible	nombre	0.0	0.0
LORRAINE	41	RA08Aval du cycle du combustible	nombre	0.0	0.0
LORRAINE	41	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
LORRAINE	41	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
LORRAINE	41	RA08Anciens sites assainis ou en cours d'assainissement	nombre	1.0	1.0
LORRAINE	41	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	21.0	29.0
MIDI-PYRENEES	73	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
MIDI-PYRENEES	73	RA08Etablissements de recherche (hors CEA)	nombre	13.0	25.0
MIDI-PYRENEES	73	RA08Installations industrielles (hors production d'électricité)	nombre	1.0	2.0
MIDI-PYRENEES	73	RA08Centres nucléaires de production d'électricité	nombre	1.0	1.0
MIDI-PYRENEES	73	RA08Activités médicales	nombre	15.0	15.0
MIDI-PYRENEES	73	RA08Etablissements de la défense nationale	nombre	4.0	3.0
MIDI-PYRENEES	73	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
MIDI-PYRENEES	73	RA08Amont du cycle du combustible	nombre	1.0	1.0
MIDI-PYRENEES	73	RA08Aval du cycle du combustible	nombre	0.0	0.0
MIDI-PYRENEES	73	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
MIDI-PYRENEES	73	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
MIDI-PYRENEES	73	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
MIDI-PYRENEES	73	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	35.0	47.0
NORD-PAS-DE-CALAIS	31	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
NORD-PAS-DE-CALAIS	31	RA08Etablissements de recherche (hors CEA)	nombre	12.0	10.0
NORD-PAS-DE-CALAIS	31	RA08Installations industrielles (hors production d'électricité)	nombre	1.0	0.0
NORD-PAS-DE-CALAIS	31	RA08Centres nucléaires de production d'électricité	nombre	1.0	1.0
NORD-PAS-DE-CALAIS	31	RA08Activités médicales	nombre	15.0	16.0
NORD-PAS-DE-CALAIS	31	RA08Etablissements de la défense nationale	nombre	2.0	1.0
NORD-PAS-DE-CALAIS	31	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
NORD-PAS-DE-CALAIS	31	RA08Amont du cycle du combustible	nombre	0.0	0.0
NORD-PAS-DE-CALAIS	31	RA08Aval du cycle du combustible	nombre	0.0	0.0
NORD-PAS-DE-CALAIS	31	RA08Etablissements de traitements des déchets ou de maintenance	nombre	1.0	1.0
NORD-PAS-DE-CALAIS	31	RA08Sites d'entreposage et stockage	nombre	1.0	2.0
NORD-PAS-DE-CALAIS	31	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
NORD-PAS-DE-CALAIS	31	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	33.0	31.0
PAYS DE LA LOIRE	52	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
PAYS DE LA LOIRE	52	RA08Etablissements de recherche (hors CEA)	nombre	13.0	11.0
PAYS DE LA LOIRE	52	RA08Installations industrielles (hors production d'électricité)	nombre	1.0	1.0
PAYS DE LA LOIRE	52	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
PAYS DE LA LOIRE	52	RA08Activités médicales	nombre	12.0	13.0
PAYS DE LA LOIRE	52	RA08Etablissements de la défense nationale	nombre	3.0	2.0
PAYS DE LA LOIRE	52	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
PAYS DE LA LOIRE	52	RA08Amont du cycle du combustible	nombre	2.0	2.0
PAYS DE LA LOIRE	52	RA08Aval du cycle du combustible	nombre	0.0	0.0
PAYS DE LA LOIRE	52	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
PAYS DE LA LOIRE	52	RA08Sites d'entreposage et stockage	nombre	1.0	1.0
PAYS DE LA LOIRE	52	RA08Anciens sites assainis ou en cours d'assainissement	nombre	1.0	1.0
PAYS DE LA LOIRE	52	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	32.0	30.0
PICARDIE	22	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
PICARDIE	22	RA08Etablissements de recherche (hors CEA)	nombre	2.0	4.0
PICARDIE	22	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
PICARDIE	22	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
PICARDIE	22	RA08Activités médicales	nombre	10.0	7.0
PICARDIE	22	RA08Etablissements de la défense nationale	nombre	3.0	2.0
PICARDIE	22	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
PICARDIE	22	RA08Amont du cycle du combustible	nombre	0.0	0.0
PICARDIE	22	RA08Aval du cycle du combustible	nombre	0.0	0.0
PICARDIE	22	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
PICARDIE	22	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
PICARDIE	22	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
PICARDIE	22	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	15.0	13.0
POITOU-CHARENTES	54	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
POITOU-CHARENTES	54	RA08Etablissements de recherche (hors CEA)	nombre	9.0	9.0
POITOU-CHARENTES	54	RA08Installations industrielles (hors production d'électricité)	nombre	1.0	1.0
POITOU-CHARENTES	54	RA08Centres nucléaires de production d'électricité	nombre	1.0	1.0
POITOU-CHARENTES	54	RA08Activités médicales	nombre	5.0	5.0
POITOU-CHARENTES	54	RA08Etablissements de la défense nationale	nombre	5.0	2.0
POITOU-CHARENTES	54	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
POITOU-CHARENTES	54	RA08Amont du cycle du combustible	nombre	0.0	0.0
POITOU-CHARENTES	54	RA08Aval du cycle du combustible	nombre	0.0	0.0
POITOU-CHARENTES	54	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
POITOU-CHARENTES	54	RA08Sites d'entreposage et stockage	nombre	1.0	1.0
POITOU-CHARENTES	54	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	1.0
POITOU-CHARENTES	54	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	22.0	19.0
PROVENCE-ALPES-COTE D AZUR	93	RA08Centres d'études et de recherche du CEA civil	nombre	2.0	2.0
PROVENCE-ALPES-COTE D AZUR	93	RA08Etablissements de recherche (hors CEA)	nombre	38.0	48.0
PROVENCE-ALPES-COTE D AZUR	93	RA08Installations industrielles (hors production d'électricité)	nombre	4.0	6.0
PROVENCE-ALPES-COTE D AZUR	93	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
PROVENCE-ALPES-COTE D AZUR	93	RA08Activités médicales	nombre	16.0	16.0
PROVENCE-ALPES-COTE D AZUR	93	RA08Etablissements de la défense nationale	nombre	18.0	11.0
PROVENCE-ALPES-COTE D AZUR	93	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	1.0	1.0
PROVENCE-ALPES-COTE D AZUR	93	RA08Amont du cycle du combustible	nombre	0.0	0.0
PROVENCE-ALPES-COTE D AZUR	93	RA08Aval du cycle du combustible	nombre	1.0	1.0
PROVENCE-ALPES-COTE D AZUR	93	RA08Etablissements de traitements des déchets ou de maintenance	nombre	3.0	3.0
PROVENCE-ALPES-COTE D AZUR	93	RA08Sites d'entreposage et stockage	nombre	2.0	2.0
