Lieu	N° région, département	Série	Unité	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
CHAMPAGNE-ARDENNE	21	EA04Volume des pluies efficaces	 Millions m3	7584.379	12109.001	8018.435	8942.606	8077.224	4528.978	7979.88	7939.047	9795.879	4482.173	5014.092	4192.198	5498.857	7926.681	7156.055	9284.213	4337.487	4450.644	7832.748	9346.038	8387.335	11816.874	7330.921	1038.377	4022.111	2321.005	ND	3215.026	5878.784	4624.148	5829.868	4269.264	7272.037
CHAMPAGNE-ARDENNE	21	EA04Superficie du territoire considéré pour les pluies efficaces	 km²	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281	25745.281
CHAMPAGNE-ARDENNE	21	EA04Hauteur des précipitations totales	mm	856.0	1059.0	884.0	841.0	894.0	686.0	913.0	907.0	992.0	702.0	813.0	661.0	836.0	853.0	902.0	945.0	688.0	812.0	841.0	987.0	1002.0	1093.0	857.0	611.0	765.0	681.0	854.0	851.0	872.0	764.0	764.0	721.0	887.0
CHAMPAGNE-ARDENNE	21	EA04Hauteur des précipitations efficaces	mm	295.0	470.0	311.0	347.0	314.0	176.0	310.0	308.0	380.0	174.0	195.0	163.0	214.0	308.0	278.0	361.0	168.0	173.0	304.0	363.0	326.0	459.0	285.0	40.0	156.0	90.0	ND	ND	228.0	180.0	226.0	166.0	282.0
CORSE	94	EA04Volume des précipitations totales	 Millions m3	10103.682	7195.11	9328.737	7394.935	9234.131	5999.937	8124.627	6973.404	6243.877	6894.024	7137.207	7261.669	9302.698	8729.107	7083.694	7153.343	11825.426	6981.796	7233.703	8445.379	9039.558	6155.941	8783.491	7316.073	9725.087	8302.751	7464.044	7338.354	12337.202	8876.42	10201.945	7513.272	8372.877
CORSE	94	EA04Superficie du territoire considéré pour les précipitations	 km²	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844
CORSE	94	EA04Volume des pluies efficaces	 Millions m3	5838.772	2803.812	4986.552	2343.065	3887.033	2692.31	3933.373	3344.871	2123.266	2090.137	2812.775	2539.787	4286.349	4653.93	2220.693	2017.479	6870.566	2591.659	2551.266	3616.075	4549.3	2062.257	2539.76	1773.918	3621.903	1941.358	ND	3381.623	7903.025	4763.146	5681.995	3337.112	3655.821
CORSE	94	EA04Superficie du territoire considéré pour les pluies efficaces	 km²	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844	8780.844
CORSE	94	EA04Hauteur des précipitations totales	mm	1151.0	819.0	1062.0	842.0	1052.0	683.0	925.0	794.0	711.0	785.0	813.0	827.0	1059.0	994.0	807.0	815.0	1347.0	795.0	824.0	962.0	1029.0	701.0	1000.0	833.0	1108.0	946.0	850.0	836.0	1405.0	1011.0	1162.0	856.0	954.0
CORSE	94	EA04Hauteur des précipitations efficaces	mm	665.0	319.0	568.0	267.0	443.0	307.0	448.0	381.0	242.0	238.0	320.0	289.0	488.0	530.0	253.0	230.0	782.0	295.0	291.0	412.0	518.0	235.0	289.0	202.0	412.0	221.0	ND	ND	900.0	542.0	647.0	380.0	416.0
FRANCHE COMTE	43	EA04Volume des précipitations totales	 Millions m3	20780.435	25252.881	24245.915	23608.212	20216.219	17785.005	21943.055	22667.788	23854.047	17023.397	20221.72	17531.761	21440.815	21764.225	22426.265	24611.462	18420.09	19270.925	20666.268	26731.898	22013.893	24702.596	22874.289	15317.111	20106.857	17101.509	22384.621	22558.83	21933.741	18044.812	19344.064	17443.668	24508.424
FRANCHE COMTE	43	EA04Superficie du territoire considéré pour les précipitations	 km²	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475
FRANCHE COMTE	43	EA04Volume des pluies efficaces	 Millions m3	11560.473	15751.623	13581.387	14737.445	11238.25	8253.059	12121.709	13057.393	13565.343	7075.092	9476.015	8261.661	11257.546	11666.986	12421.051	14483.314	8903.223	8365.634	10967.151	16392.776	11237.846	14596.08	12614.588	3863.6	9841.628	5939.639	ND	8937.333	10120.593	7018.35	8530.236	5996.982	12664.307
FRANCHE COMTE	43	EA04Superficie du territoire considéré pour les pluies efficaces	 km²	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475	16305.475
