Lieu	N° région, département	Série	Unité	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008
LIMOUSIN	74	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	126.0	77.0	52.0	61.0	21.0	34.0	18.0	13.0	28.0	55.0	36.0	66.0	32.0	23.0	66.0	103.0	74.0	44.0	101.0	206.0	163.0	124.0	81.0	45.0
LIMOUSIN	74	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	68600.0	71000.0	78200.0	81100.0	80300.0	122100.0	87400.0	101700.0	84500.0	94500.0	109488.0	102674.0	129972.0	116331.0	114546.0	139912.0	135108.0	142195.0	139525.0	149976.0	169815.0	183359.0	ND	ND
LIMOUSIN	74	LO06Nombre de vente d'appartements neufs (réservation avec dépôt d'arrhes)	 Nombre	216.0	277.0	224.0	294.0	290.0	414.0	389.0	206.0	233.0	257.0	312.0	328.0	498.0	563.0	453.0	505.0	324.0	396.0	500.0	885.0	1369.0	1572.0	766.0	244.0
LIMOUSIN	74	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	978.0	1200.0	1092.0	1199.0	1224.0	1293.0	1384.0	1312.0	1287.0	1352.0	1344.0	1397.0	1354.0	1421.0	1427.0	1548.0	1554.0	1655.0	1773.0	1967.0	2329.0	2492.0	2579.0	2555.0
LORRAINE	41	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	541.0	498.0	350.0	226.0	193.0	137.0	31.0	55.0	45.0	60.0	105.0	91.0	62.0	140.0	195.0	148.0	147.0	209.0	222.0	238.0	358.0	388.0	225.0	144.0
LORRAINE	41	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	76400.0	78700.0	97600.0	81000.0	83400.0	85200.0	96200.0	102100.0	111900.0	96700.0	114739.0	108436.0	120370.0	118572.0	138124.0	144539.0	155265.0	173725.0	160695.0	173806.0	187744.0	194329.0	215993.0	196807.0
LORRAINE	41	LO06Nombre de vente d'appartements neufs (réservation avec dépôt d'arrhes)	 Nombre	653.0	734.0	831.0	814.0	964.0	826.0	671.0	626.0	442.0	586.0	489.0	639.0	1015.0	1518.0	1303.0	1242.0	1121.0	1286.0	1487.0	1617.0	2049.0	2595.0	3408.0	1165.0
LORRAINE	41	LO06Prix de vente moyen d'un appartement neuf (en euros/m2)	 euro/m2	963.0	969.0	1010.0	1104.0	1135.0	1160.0	1231.0	1277.0	1258.0	1238.0	1327.0	1356.0	1431.0	1473.0	1545.0	1554.0	1577.0	1664.0	1770.0	1949.0	2109.0	2203.0	2304.0	2367.0
MIDI-PYRENEES	73	LO06Nombre de ventes de maisons individuelles neuves (réservation avec dépôt d'arrhes)	 Nombre	980.0	606.0	544.0	448.0	575.0	404.0	233.0	244.0	218.0	558.0	501.0	467.0	486.0	679.0	928.0	843.0	1163.0	1154.0	1122.0	1023.0	955.0	847.0	1257.0	630.0
MIDI-PYRENEES	73	LO06Prix de vente moyen d'une maison individuelle neuve (en euros)	 euros	71800.0	77000.0	76100.0	80600.0	91800.0	103400.0	104700.0	103800.0	116500.0	105200.0	104035.0	108567.0	110884.0	106242.0	131229.0	117924.0	128581.0	136243.0	165024.0	172162.0	194921.0	214617.0	201835.0	202597.0
