Lieu	N° région, département	Série	Unité	2004	2008
BOUCHES-DU-RHONE	13	RA08Installations industrielles (hors production d'électricité)	nombre	2.0	3.0
BOUCHES-DU-RHONE	13	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
BOUCHES-DU-RHONE	13	RA08Activités médicales	nombre	8.0	7.0
BOUCHES-DU-RHONE	13	RA08Etablissements de la défense nationale	nombre	2.0	2.0
BOUCHES-DU-RHONE	13	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	1.0	1.0
BOUCHES-DU-RHONE	13	RA08Amont du cycle du combustible	nombre	0.0	0.0
BOUCHES-DU-RHONE	13	RA08Aval du cycle du combustible	nombre	1.0	1.0
BOUCHES-DU-RHONE	13	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
BOUCHES-DU-RHONE	13	RA08Sites d'entreposage et stockage	nombre	1.0	1.0
BOUCHES-DU-RHONE	13	RA08Anciens sites assainis ou en cours d'assainissement	nombre	1.0	1.0
BOUCHES-DU-RHONE	13	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	30.0	39.0
CALVADOS	14	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
CALVADOS	14	RA08Etablissements de recherche (hors CEA)	nombre	4.0	5.0
CALVADOS	14	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
CALVADOS	14	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
CALVADOS	14	RA08Activités médicales	nombre	5.0	6.0
CALVADOS	14	RA08Etablissements de la défense nationale	nombre	1.0	1.0
CALVADOS	14	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
CALVADOS	14	RA08Amont du cycle du combustible	nombre	0.0	0.0
CALVADOS	14	RA08Aval du cycle du combustible	nombre	0.0	0.0
CALVADOS	14	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
CALVADOS	14	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
CALVADOS	14	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
CALVADOS	14	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	10.0	12.0
CANTAL	15	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
CANTAL	15	RA08Etablissements de recherche (hors CEA)	nombre	0.0	0.0
CANTAL	15	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
CANTAL	15	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
CANTAL	15	RA08Activités médicales	nombre	0.0	0.0
CANTAL	15	RA08Etablissements de la défense nationale	nombre	0.0	0.0
CANTAL	15	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
CANTAL	15	RA08Amont du cycle du combustible	nombre	1.0	1.0
CANTAL	15	RA08Aval du cycle du combustible	nombre	0.0	0.0
CANTAL	15	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
CANTAL	15	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
CANTAL	15	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
CANTAL	15	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	1.0	1.0
CHARENTE	16	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
CHARENTE	16	RA08Etablissements de recherche (hors CEA)	nombre	0.0	0.0
CHARENTE	16	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
CHARENTE	16	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
CHARENTE	16	RA08Activités médicales	nombre	1.0	1.0
CHARENTE	16	RA08Etablissements de la défense nationale	nombre	1.0	0.0
CHARENTE	16	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
CHARENTE	16	RA08Amont du cycle du combustible	nombre	0.0	0.0
CHARENTE	16	RA08Aval du cycle du combustible	nombre	0.0	0.0
CHARENTE	16	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
CHARENTE	16	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
CHARENTE	16	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
CHARENTE	16	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	2.0	1.0
CHARENTE-MARITIME	17	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
CHARENTE-MARITIME	17	RA08Etablissements de recherche (hors CEA)	nombre	2.0	2.0
CHARENTE-MARITIME	17	RA08Installations industrielles (hors production d'électricité)	nombre	1.0	1.0
CHARENTE-MARITIME	17	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
CHARENTE-MARITIME	17	RA08Activités médicales	nombre	1.0	1.0
CHARENTE-MARITIME	17	RA08Etablissements de la défense nationale	nombre	2.0	0.0
CHARENTE-MARITIME	17	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
CHARENTE-MARITIME	17	RA08Amont du cycle du combustible	nombre	0.0	0.0
CHARENTE-MARITIME	17	RA08Aval du cycle du combustible	nombre	0.0	0.0
CHARENTE-MARITIME	17	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
CHARENTE-MARITIME	17	RA08Sites d'entreposage et stockage	nombre	1.0	1.0
CHARENTE-MARITIME	17	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	1.0
CHARENTE-MARITIME	17	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	7.0	5.0
CHER	18	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
CHER	18	RA08Etablissements de recherche (hors CEA)	nombre	0.0	0.0
CHER	18	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
CHER	18	RA08Centres nucléaires de production d'électricité	nombre	1.0	1.0
CHER	18	RA08Activités médicales	nombre	1.0	1.0
CHER	18	RA08Etablissements de la défense nationale	nombre	3.0	3.0
CHER	18	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
CHER	18	RA08Amont du cycle du combustible	nombre	0.0	0.0
CHER	18	RA08Aval du cycle du combustible	nombre	0.0	0.0
CHER	18	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
CHER	18	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
CHER	18	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
CHER	18	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	5.0	5.0
CORREZE	19	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
CORREZE	19	RA08Etablissements de recherche (hors CEA)	nombre	0.0	1.0
CORREZE	19	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
CORREZE	19	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
CORREZE	19	RA08Activités médicales	nombre	1.0	1.0
CORREZE	19	RA08Etablissements de la défense nationale	nombre	1.0	1.0
CORREZE	19	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
CORREZE	19	RA08Amont du cycle du combustible	nombre	0.0	0.0
CORREZE	19	RA08Aval du cycle du combustible	nombre	0.0	0.0
CORREZE	19	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
CORREZE	19	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
CORREZE	19	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
CORREZE	19	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	2.0	3.0
CORSE-DU-SUD	2A	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
CORSE-DU-SUD	2A	RA08Etablissements de recherche (hors CEA)	nombre	0.0	0.0
CORSE-DU-SUD	2A	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
CORSE-DU-SUD	2A	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
CORSE-DU-SUD	2A	RA08Activités médicales	nombre	1.0	1.0
CORSE-DU-SUD	2A	RA08Etablissements de la défense nationale	nombre	0.0	1.0
CORSE-DU-SUD	2A	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	0.0	0.0
CORSE-DU-SUD	2A	RA08Amont du cycle du combustible	nombre	0.0	0.0
CORSE-DU-SUD	2A	RA08Aval du cycle du combustible	nombre	0.0	0.0
CORSE-DU-SUD	2A	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
CORSE-DU-SUD	2A	RA08Sites d'entreposage et stockage	nombre	0.0	0.0
CORSE-DU-SUD	2A	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	0.0
CORSE-DU-SUD	2A	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	1.0	2.0
COTE-D OR	21	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
COTE-D OR	21	RA08Etablissements de recherche (hors CEA)	nombre	7.0	13.0
COTE-D OR	21	RA08Installations industrielles (hors production d'électricité)	nombre	0.0	0.0
COTE-D OR	21	RA08Centres nucléaires de production d'électricité	nombre	0.0	0.0
COTE-D OR	21	RA08Activités médicales	nombre	3.0	4.0
COTE-D OR	21	RA08Etablissements de la défense nationale	nombre	1.0	1.0
COTE-D OR	21	RA08Centre d'étude, de production ou d'expérimentation de la force de dissuasion	nombre	1.0	1.0
COTE-D OR	21	RA08Amont du cycle du combustible	nombre	0.0	0.0
COTE-D OR	21	RA08Aval du cycle du combustible	nombre	0.0	0.0
COTE-D OR	21	RA08Etablissements de traitements des déchets ou de maintenance	nombre	0.0	0.0
COTE-D OR	21	RA08Sites d'entreposage et stockage	nombre	1.0	1.0
COTE-D OR	21	RA08Anciens sites assainis ou en cours d'assainissement	nombre	0.0	1.0
COTE-D OR	21	RA08Total des sites (non compris les sites assainis ou en cours d'assainissement)	nombre	13.0	20.0
COTES-D ARMOR	22	RA08Centres d'études et de recherche du CEA civil	nombre	0.0	0.0
